superkingdom,RefSeq_number
Bacteria,GCF_000018665.1_ASM1866v1
Bacteria,GCF_000018785.1_ASM1878v1
Bacteria,GCF_000018825.1_ASM1882v1
Bacteria,GCF_000018865.1_ASM1886v1
Bacteria,GCF_000018885.1_ASM1888v1
Bacteria,GCF_000018945.1_ASM1894v1
Bacteria,GCF_000019045.1_ASM1904v1
Bacteria,GCF_000019085.1_ASM1908v1
Bacteria,GCF_000019165.1_ASM1916v1
Bacteria,GCF_000019185.1_ASM1918v1
Bacteria,GCF_000019225.1_ASM1922v1
Bacteria,GCF_000019405.1_ASM1940v1
Bacteria,GCF_000019525.1_ASM1952v1
Bacteria,GCF_000019665.1_ASM1966v1
Bacteria,GCF_000019725.1_ASM1972v1
Bacteria,GCF_000019745.1_ASM1974v1
Bacteria,GCF_000019785.1_ASM1978v1
Bacteria,GCF_000019905.1_ASM1990v1
Bacteria,GCF_000019965.1_ASM1996v1
Bacteria,GCF_000020005.1_ASM2000v1
Bacteria,GCF_000020025.1_ASM2002v1
Bacteria,GCF_000020145.1_ASM2014v1
Bacteria,GCF_000020305.1_ASM2030v1
Bacteria,GCF_000020325.1_ASM2032v1
Bacteria,GCF_000020365.1_ASM2036v1
Bacteria,GCF_000020405.1_ASM2040v1
Bacteria,GCF_000020465.1_ASM2046v1
Bacteria,GCF_000020485.1_ASM2048v1
Bacteria,GCF_000020505.1_ASM2050v1
Bacteria,GCF_000020525.1_ASM2052v1
Bacteria,GCF_000020545.1_ASM2054v1
Bacteria,GCF_000020605.1_ASM2060v1
Bacteria,GCF_000020625.1_ASM2062v1
Bacteria,GCF_000020645.1_ASM2064v1
Bacteria,GCF_000020685.1_ASM2068v1
Bacteria,GCF_000020725.1_ASM2072v1
Bacteria,GCF_000020945.1_ASM2094v1
Bacteria,GCF_000020965.1_ASM2096v1
Bacteria,GCF_000020985.1_ASM2098v1
Bacteria,GCF_000021025.1_ASM2102v1
Bacteria,GCF_000021045.1_ASM2104v1
Bacteria,GCF_000021265.1_ASM2126v1
Bacteria,GCF_000021285.1_ASM2128v1
Bacteria,GCF_000021485.1_ASM2148v1
Bacteria,GCF_000021545.1_ASM2154v1
Bacteria,GCF_000021565.1_ASM2156v1
Bacteria,GCF_000021645.1_ASM2164v1
Bacteria,GCF_000021725.1_ASM2172v1
Bacteria,GCF_000021745.1_ASM2174v1
Bacteria,GCF_000021765.1_ASM2176v1
Bacteria,GCF_000021885.1_ASM2188v1
Bacteria,GCF_000021905.1_ASM2190v1
Bacteria,GCF_000021925.1_ASM2192v1
Bacteria,GCF_000021945.1_ASM2194v1
Bacteria,GCF_000022005.1_ASM2200v1
Bacteria,GCF_000022025.1_ASM2202v1
Bacteria,GCF_000022125.1_ASM2212v1
Bacteria,GCF_000022185.1_ASM2218v1
Bacteria,GCF_000022265.1_ASM2226v1
Bacteria,GCF_000022285.1_ASM2228v1
Bacteria,GCF_000022305.1_ASM2230v1
Bacteria,GCF_000022325.1_ASM2232v1
Bacteria,GCF_000022525.1_ASM2252v1
Bacteria,GCF_000022885.2_ASM2288v2
Bacteria,GCF_000023025.1_ASM2302v1
Bacteria,GCF_000023065.1_ASM2306v1
Bacteria,GCF_000023105.1_ASM2310v1
Bacteria,GCF_000023125.1_ASM2312v1
Bacteria,GCF_000023205.1_ASM2320v1
Bacteria,GCF_000023225.1_ASM2322v1
Bacteria,GCF_000023245.1_ASM2324v1
Bacteria,GCF_000023265.1_ASM2326v1
Bacteria,GCF_000023285.1_ASM2328v1
Bacteria,GCF_000023325.1_ASM2332v1
Bacteria,GCF_000023405.1_ASM2340v1
Bacteria,GCF_000023465.1_ASM2346v1
Bacteria,GCF_000023705.1_ASM2370v1
Bacteria,GCF_000023725.1_ASM2372v1
Bacteria,GCF_000023745.1_ASM2374v1
Bacteria,GCF_000023785.1_ASM2378v1
Bacteria,GCF_000023825.1_ASM2382v1
Bacteria,GCF_000023845.1_ASM2384v1
Bacteria,GCF_000023865.1_ASM2386v1
Bacteria,GCF_000023885.1_ASM2388v1
Bacteria,GCF_000023905.1_ASM2390v1
Bacteria,GCF_000023925.1_ASM2392v1
Bacteria,GCF_000024005.1_ASM2400v1
Bacteria,GCF_000024025.1_ASM2402v1
Bacteria,GCF_000024065.1_ASM2406v1
Bacteria,GCF_000024085.1_ASM2408v1
Bacteria,GCF_000024125.1_ASM2412v1
Bacteria,GCF_000024205.1_ASM2420v1
Bacteria,GCF_000024225.1_ASM2422v1
Bacteria,GCF_000024265.1_ASM2426v1
Bacteria,GCF_000024325.1_ASM2432v1
Bacteria,GCF_000024365.1_ASM2436v1
Bacteria,GCF_000024385.1_ASM2438v1
Bacteria,GCF_000024405.1_ASM2440v1
Bacteria,GCF_000024425.1_ASM2442v1
Bacteria,GCF_000024505.1_ASM2450v1
Bacteria,GCF_000024545.1_ASM2454v1
Bacteria,GCF_000024605.1_ASM2460v1
Bacteria,GCF_000024645.1_ASM2464v1
Bacteria,GCF_000024765.1_ASM2476v1
Bacteria,GCF_000024785.1_ASM2478v1
Bacteria,GCF_000024805.1_ASM2480v1
Bacteria,GCF_000024845.1_ASM2484v1
Bacteria,GCF_000024865.1_ASM2486v1
Bacteria,GCF_000024885.1_ASM2488v1
Bacteria,GCF_000024905.1_ASM2490v1
Bacteria,GCF_000024925.1_ASM2492v1
Bacteria,GCF_000024945.1_ASM2494v1
Bacteria,GCF_000024965.1_ASM2496v1
Bacteria,GCF_000024985.1_ASM2498v1
Bacteria,GCF_000025085.1_ASM2508v1
Bacteria,GCF_000025105.1_ASM2510v1
Bacteria,GCF_000025185.1_ASM2518v1
Bacteria,GCF_000025225.2_ASM2522v1
Bacteria,GCF_000025265.1_ASM2526v1
Bacteria,GCF_000025305.1_ASM2530v1
Bacteria,GCF_000025345.1_ASM2534v1
Bacteria,GCF_000025485.1_ASM2548v1
Bacteria,GCF_000025545.1_ASM2554v1
Bacteria,GCF_000025605.1_ASM2560v1
Bacteria,GCF_000025705.1_ASM2570v1
Bacteria,GCF_000025725.1_ASM2572v1
Bacteria,GCF_000025885.1_ASM2588v1
Bacteria,GCF_000025905.1_ASM2590v1
Bacteria,GCF_000025945.1_ASM2594v1
Bacteria,GCF_000025965.1_ASM2596v1
Bacteria,GCF_000026005.1_ASM2600v1
Bacteria,GCF_000026025.1_ASM2602v1
Bacteria,GCF_000026085.1_ASM2608v1
Bacteria,GCF_000026225.1_ASM2622v1
Bacteria,GCF_000026985.1_ASM2698v1
Bacteria,GCF_000027085.1_ASM2708v1
Bacteria,GCF_000027145.1_ASM2714v1
Bacteria,GCF_000043285.1_ASM4328v1
Bacteria,GCF_000046685.1_ASM4668v1
Bacteria,GCF_000055785.1_ASM5578v1
Bacteria,GCF_000060285.1_ASM6028v1
Bacteria,GCF_000060345.1_ASM6034v1
Bacteria,GCF_000062885.1_ASM6288v1
Bacteria,GCF_000063505.1_ASM6350v1
Bacteria,GCF_000067045.1_ASM6704v1
Bacteria,GCF_000067165.1_ASM6716v1
Bacteria,GCF_000069945.1_ASM6994v1
Bacteria,GCF_000083545.1_ASM8354v1
Bacteria,GCF_000091125.1_ASM9112v1
Bacteria,GCF_000091325.1_ASM9132v1
Bacteria,GCF_000091565.1_ASM9156v1
Bacteria,GCF_000091785.1_ASM9178v1
Bacteria,GCF_000092105.1_ASM9210v1
Bacteria,GCF_000092125.1_ASM9212v1
Bacteria,GCF_000092205.1_ASM9220v1
Bacteria,GCF_000092225.1_ASM9222v1
Bacteria,GCF_000092245.1_ASM9224v1
Bacteria,GCF_000092285.1_ASM9228v1
Bacteria,GCF_000092365.1_ASM9236v1
Bacteria,GCF_000092405.1_ASM9240v1
Bacteria,GCF_000092425.1_ASM9242v1
Bacteria,GCF_000092565.1_ASM9256v1
Bacteria,GCF_000092605.1_ASM9260v1
Bacteria,GCF_000092645.1_ASM9264v1
Bacteria,GCF_000092785.1_ASM9278v1
Bacteria,GCF_000092825.1_ASM9282v1
Bacteria,GCF_000092845.1_ASM9284v1
Bacteria,GCF_000092865.1_ASM9286v1
Bacteria,GCF_000092905.1_ASM9290v1
Bacteria,GCF_000092925.1_ASM9292v1
Bacteria,GCF_000092945.1_ASM9294v1
Bacteria,GCF_000092965.1_ASM9296v1
Bacteria,GCF_000093025.1_ASM9302v1
Bacteria,GCF_000093145.3_ASM9314v2
Bacteria,GCF_000143165.1_ASM14316v1
Bacteria,GCF_000143845.1_ASM14384v1
Bacteria,GCF_000143965.1_ASM14396v1
Bacteria,GCF_000143985.1_ASM14398v1
Bacteria,GCF_000144605.1_ASM14460v1
Bacteria,GCF_000144645.1_ASM14464v1
Bacteria,GCF_000144695.1_ASM14469v1
Bacteria,GCF_000145235.1_ASM14523v1
Bacteria,GCF_000145255.1_ASM14525v1
Bacteria,GCF_000145615.1_ASM14561v1
Bacteria,GCF_000146185.1_ASM14618v1
Bacteria,GCF_000146505.1_ASM14650v1
Bacteria,GCF_000147055.1_ASM14705v1
Bacteria,GCF_000147335.1_ASM14733v1
Bacteria,GCF_000147355.1_ASM14735v1
Bacteria,GCF_000147715.2_ASM14771v3
Bacteria,GCF_000148645.1_ASM14864v1
Bacteria,GCF_000148935.1_ASM14893v1
Bacteria,GCF_000152825.2_ASM15282v2
Bacteria,GCF_000152925.2_ASM15292v3
Bacteria,GCF_000152945.2_ASM15294v2
Bacteria,GCF_000153165.2_ASM15316v2
Bacteria,GCF_000153405.2_ASM15340v2
Bacteria,GCF_000153485.2_ASM15348v2
Bacteria,GCF_000162235.2_ASM16223v2
Bacteria,GCF_000163895.2_ASM16389v2
Bacteria,GCF_000164675.2_ASM16467v2
Bacteria,GCF_000164695.2_ASM16469v2
Bacteria,GCF_000164905.1_ASM16490v1
Bacteria,GCF_000165465.1_ASM16546v1
Bacteria,GCF_000165485.1_ASM16548v1
Bacteria,GCF_000165505.1_ASM16550v1
Bacteria,GCF_000165715.2_ASM16571v3
Bacteria,GCF_000165815.1_ASM16581v1
Bacteria,GCF_000166055.1_ASM16605v1
Bacteria,GCF_000166115.1_ASM16611v1
Bacteria,GCF_000166395.1_ASM16639v1
Bacteria,GCF_000166415.1_ASM16641v1
Bacteria,GCF_000166695.1_ASM16669v1
Bacteria,GCF_000166775.1_ASM16677v1
Bacteria,GCF_000175095.2_ASM17509v2
Bacteria,GCF_000175295.2_ASM17529v2
Bacteria,GCF_000176035.2_ASM17603v2
Bacteria,GCF_000176855.2_ASM17685v2
Bacteria,GCF_000177615.2_ASM17761v2
Bacteria,GCF_000177635.2_ASM17763v2
Bacteria,GCF_000177655.2_ASM17765v2
Bacteria,GCF_000178115.2_ASM17811v2
Bacteria,GCF_000178975.2_ASM17897v2
Bacteria,GCF_000179015.2_ASM17901v2
Bacteria,GCF_000179635.2_ASM17963v2
Bacteria,GCF_000180175.2_ASM18017v2
Bacteria,GCF_000182745.2_ASM18274v1
Bacteria,GCF_000183115.1_ASM18311v1
Bacteria,GCF_000183135.1_ASM18313v1
Bacteria,GCF_000183405.1_ASM18340v1
Bacteria,GCF_000183425.1_ASM18342v1
Bacteria,GCF_000183725.1_ASM18372v1
Bacteria,GCF_000183745.1_ASM18374v1
Bacteria,GCF_000184345.1_ASM18434v2
Bacteria,GCF_000184685.1_ASM18468v1
Bacteria,GCF_000184705.1_ASM18470v1
Bacteria,GCF_000184745.1_ASM18474v1
Bacteria,GCF_000185805.1_ASM18580v1
Bacteria,GCF_000186245.1_ASM18624v1
Bacteria,GCF_000186265.1_ASM18626v1
Bacteria,GCF_000187005.1_ASM18700v1
Bacteria,GCF_000187705.1_ASM18770v1
Bacteria,GCF_000189415.1_ASM18941v1
Bacteria,GCF_000189535.1_ASM18953v1
Bacteria,GCF_000189775.2_ASM18977v3
Bacteria,GCF_000190435.1_ASM19043v1
Bacteria,GCF_000190535.1_ASM19053v1
Bacteria,GCF_000190635.1_ASM19063v1
Bacteria,GCF_000190735.1_ASM19073v2
Bacteria,GCF_000191045.1_ASM19104v1
Bacteria,GCF_000192105.1_ASM19210v1
Bacteria,GCF_000192745.1_ASM19274v1
Bacteria,GCF_000192865.1_ASM19286v1
Bacteria,GCF_000193435.2_ASM19343v3
Bacteria,GCF_000194135.1_ASM19413v1
Bacteria,GCF_000194605.1_ASM19460v1
Bacteria,GCF_000194805.1_ASM19480v1
Bacteria,GCF_000195275.1_ASM19527v1
Bacteria,GCF_000195295.1_ASM19529v1
Bacteria,GCF_000195315.1_ASM19531v1
Bacteria,GCF_000195335.1_ASM19533v1
Bacteria,GCF_000195775.1_ASM19577v1
Bacteria,GCF_000196015.1_ASM19601v1
Bacteria,GCF_000196115.1_ASM19611v1
Bacteria,GCF_000196135.1_ASM19613v1
Bacteria,GCF_000196155.1_ASM19615v1
Bacteria,GCF_000196275.1_ASM19627v1
Bacteria,GCF_000196295.1_ASM19629v1
Bacteria,GCF_000196315.1_ASM19631v1
Bacteria,GCF_000196355.1_ASM19635v1
Bacteria,GCF_000196395.1_ASM19639v1
Bacteria,GCF_000196475.1_ASM19647v1
Bacteria,GCF_000196495.1_ASM19649v1
Bacteria,GCF_000196535.1_ASM19653v1
Bacteria,GCF_000196675.1_ASM19667v1
Bacteria,GCF_000199675.1_ASM19967v1
Bacteria,GCF_000202635.1_ASM20263v1
Bacteria,GCF_000202835.1_ASM20283v1
Bacteria,GCF_000204135.1_ASM20413v1
Bacteria,GCF_000204155.1_ASM20415v1
Bacteria,GCF_000208385.1_ASM20838v1
