AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_000204925.1	1006006	GCF_000204925.1	ASM20492v1	Metallosphaera cuprina Ar-4 (crenarchaeotes)	1006005	Metallosphaera cuprina	GCA_000204925.1GCF_000204925.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera cuprina
GCF_000340315.1	1028566	GCF_000340315.1	ASM34031v1	Sulfolobus acidocaldarius N8 (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_000340315.1GCF_000340315.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_000338775.1	1028567	GCF_000338775.1	ASM33877v1	Sulfolobus acidocaldarius Ron12/I (crenarchaeotes)	2285	Sulfolobus acidocaldarius	GCA_000338775.1GCF_000338775.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
GCF_000470655.1	1033806	GCF_000470655.1	HATI1	Halorhabdus tiamatea SARL4B (euryarchaeotes)	430914	Halorhabdus tiamatea	GCA_000470655.1GCF_000470655.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halorhabdus	Halorhabdus tiamatea
GCF_000251105.1	1041930	GCF_000251105.1	ASM25110v1	Methanocella conradii HZ254 (euryarchaeotes)	1175444	Methanocella conradii	GCA_000251105.1GCF_000251105.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella conradii
GCF_000221185.1	1042877	GCF_000221185.1	ASM22118v1	Thermococcus sp. 4557 (euryarchaeotes)	1042877	Thermococcus sp. 4557	GCA_000221185.1GCF_000221185.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. 4557
GCF_002355635.1	1048396	GCF_002355635.1	ASM235563v1	Halopenitus persicus (euryarchaeotes)	1048396	Halopenitus persicus	GCA_002355635.1GCF_002355635.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halopenitus	Halopenitus persicus
GCF_000220645.1	1053692	GCF_000220645.1	ASM22064v1	Methanococcus maripaludis X1 (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_000220645.1GCF_000220645.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000350305.1	1054217	GCF_000350305.1	ASM35030v1	Thermoplasmatales archaeon BRNA1 (euryarchaeotes)	1054217	Thermoplasmatales archaeon BRNA1	GCA_000350305.1GCF_000350305.1identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	NA	NA	Thermoplasmatales archaeon BRNA1
GCF_000317795.1	1056495	GCF_000317795.1	ASM31779v1	Caldisphaera lagunensis DSM 15908 (crenarchaeotes)	200415	Caldisphaera lagunensis	GCA_000317795.1GCF_000317795.1identical	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Caldisphaeraceae	Caldisphaera	Caldisphaera lagunensis
GCF_002788215.1	1073996	GCF_002788215.1	ASM278821v1	Halohasta litchfieldiae (euryarchaeotes)	1073996	Halohasta litchfieldiae	GCA_002788215.1GCF_002788215.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halohasta	Halohasta litchfieldiae
GCF_000306725.1	1094980	GCF_000306725.1	ASM30672v1	Methanolobus psychrophilus R15 (euryarchaeotes)	420950	Methanolobus psychrophilus	GCA_000306725.1GCF_000306725.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus psychrophilus
GCF_000235565.1	1110509	GCF_000235565.1	ASM23556v1	Methanosaeta harundinacea 6Ac (euryarchaeotes)	301375	Methanosaeta harundinacea	GCA_000235565.1GCF_000235565.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanothrix	Methanosaeta harundinacea
GCF_001006045.1	113653	GCF_001006045.1	ASM100604v1	Geoglobus ahangari (euryarchaeotes)	113653	Geoglobus ahangari	GCA_001006045.1GCF_001006045.1identical	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Geoglobus	Geoglobus ahangari
GCF_900095295.1	118062	GCF_900095295.1	MCBB	Methanobacterium congolense (euryarchaeotes)	118062	Methanobacterium congolense	GCA_900095295.1GCF_900095295.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium congolense
GCF_000263735.1	1183377	GCF_000263735.1	ASM26373v1	Pyrococcus sp. ST04 (euryarchaeotes)	1183377	Pyrococcus sp. ST04	GCA_000263735.1GCF_000263735.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus sp. ST04
GCF_000264495.1	1184251	GCF_000264495.1	ASM26449v1	Thermogladius calderae 1633 (crenarchaeotes)	1200300	Thermogladius calderae	GCA_000264495.1GCF_000264495.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermogladius	Thermogladius calderae
GCF_000275605.1	1185654	GCF_000275605.1	ASM27560v1	Pyrococcus furiosus COM1 (euryarchaeotes)	2261	Pyrococcus furiosus	GCA_000275605.1GCF_000275605.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
GCF_000304355.2	1201294	GCF_000304355.2	Mb_MS2	Methanoculleus bourgensis MS2 (euryarchaeotes)	83986	Methanoculleus bourgensis	GCA_000304355.2GCF_000304355.2identical	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoculleus	Methanoculleus bourgensis
GCF_002214525.1	122420	GCF_002214525.1	ASM221452v1	Thermococcus sp. P6 (euryarchaeotes)	122420	Thermococcus sp. P6	GCA_002214525.1GCF_002214525.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. P6
GCF_000299395.1	1229909	GCF_000299395.1	ASM29939v1	Candidatus Nitrosopumilus sediminis (archaea)	1229909	Candidatus Nitrosopumilus sediminis	GCA_000299395.1GCF_000299395.1identical	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus sediminis
GCF_000300255.2	1236689	GCF_000300255.2	ASM30025v2	Candidatus Methanomethylophilus alvus Mx1201 (euryarchaeotes)	1291540	Candidatus Methanomethylophilus alvus	GCA_000300255.2GCF_000300255.2identical	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Candidatus Methanomethylophilaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus alvus
GCF_000364745.1	1241935	GCF_000364745.1	ASM36474v1	Sulfolobus islandicus LAL14/1 (crenarchaeotes)	43080	Sulfolobus islandicus	GCA_000364745.1GCF_000364745.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus islandicus
GCF_001412615.1	1273541	GCF_001412615.1	ASM141261v1	Pyrodictium delaneyi (crenarchaeotes)	1273541	Pyrodictium delaneyi	GCA_001412615.1GCF_001412615.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Pyrodictium	Pyrodictium delaneyi
GCF_003711245.1	1291540	GCF_003711245.1	ASM371124v1	Candidatus Methanomethylophilus alvus (euryarchaeotes)	1291540	Candidatus Methanomethylophilus alvus	GCA_003711245.1GCF_003711245.1identical	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Candidatus Methanomethylophilaceae	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus alvus
GCF_003201675.1	1293036	GCF_003201675.1	ASM320167v1	Metallosphaera hakonensis JCM 8857 = DSM 7519 (crenarchaeotes)	79601	Metallosphaera hakonensis	GCA_003201675.1GCF_003201675.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera hakonensis
GCF_002214365.1	1293037	GCF_002214365.1	ASM221436v1	Thermococcus celer Vu 13 = JCM 8558 (euryarchaeotes)	2264	Thermococcus celer	GCA_002214365.1GCF_002214365.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus celer
GCF_000404225.1	1295009	GCF_000404225.1	ASM40422v1	Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1 (euryarchaeotes)	1406512	Candidatus Methanomassiliicoccus intestinalis	GCA_000404225.1GCF_000404225.1identical	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Methanomassiliicoccus	Candidatus Methanomassiliicoccus intestinalis
GCF_000739065.1	1301915	GCF_000739065.1	ASM73906v1	Methanocaldococcus bathoardescens (euryarchaeotes)	1301915	Methanocaldococcus bathoardescens	GCA_000739065.1GCF_000739065.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus bathoardescens
GCF_000403645.1	1333523	GCF_000403645.1	ASM40364v1	Salinarchaeum sp. Harcht-Bsk1 (euryarchaeotes)	1333523	Salinarchaeum sp. Harcht-Bsk1	GCA_000403645.1GCF_000403645.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Salinarchaeum	Salinarchaeum sp. Harcht-Bsk1
GCF_000725425.1	1343739	GCF_000725425.1	ASM72542v1	Palaeococcus pacificus DY20341 (euryarchaeotes)	971279	Palaeococcus pacificus	GCA_000725425.1GCF_000725425.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Palaeococcus	Palaeococcus pacificus
GCF_000734035.1	1344584	GCF_000734035.1	ASM73403v1	Archaeoglobus fulgidus DSM 8774 (euryarchaeotes)	2234	Archaeoglobus fulgidus	GCA_000734035.1GCF_000734035.1identical	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus fulgidus
GCF_000446015.1	1365176	GCF_000446015.1	ASM44601v1	Thermofilum adornatus (crenarchaeotes)	1365176	Thermofilum adornatus	GCA_000446015.1GCF_000446015.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum adornatus
GCF_000499765.1	1379702	GCF_000499765.1	Methanobacterium	Methanobacterium sp. MB1 (euryarchaeotes)	1379702	Methanobacterium sp. MB1	GCA_000499765.1GCF_000499765.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium	Methanobacterium sp. MB1
GCF_001488575.1	1407499	GCF_001488575.1	Halobacterium hubeiense JI20-1	Halobacterium hubeiense (euryarchaeotes)	1407499	Halobacterium hubeiense	GCA_001488575.1GCF_001488575.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium hubeiense
GCF_000812185.1	1410606	GCF_000812185.1	ASM81218v1	Candidatus Nitrosopelagicus brevis (archaea)	1410606	Candidatus Nitrosopelagicus brevis	GCA_000812185.1GCF_000812185.1identical	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosopelagicus	Candidatus Nitrosopelagicus brevis
GCF_000504565.1	1417673	GCF_000504565.1	ASM50456v2	Haloarcula hispanica N601 (euryarchaeotes)	51589	Haloarcula hispanica	GCA_000504565.2GCF_000504565.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula hispanica
GCF_000816105.1	1432656	GCF_000816105.1	ASM81610v1	Thermococcus guaymasensis DSM 11113 (euryarchaeotes)	110164	Thermococcus guaymasensis	GCA_000816105.1GCF_000816105.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus guaymasensis
GCF_000969945.1	1434099	GCF_000969945.1	ASM96994v1	Methanosarcina sp. Kolksee (euryarchaeotes)	1434099	Methanosarcina sp. Kolksee	GCA_000969945.1GCF_000969945.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. Kolksee
GCF_000970045.1	1434100	GCF_000970045.1	ASM97004v1	Methanosarcina sp. MTP4 (euryarchaeotes)	1434100	Methanosarcina sp. MTP4	GCA_000970045.1GCF_000970045.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. MTP4
GCF_000970005.1	1434102	GCF_000970005.1	ASM97000v1	Methanosarcina sp. WH1 (euryarchaeotes)	1434102	Methanosarcina sp. WH1	GCA_000970005.1GCF_000970005.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. WH1
GCF_000969965.1	1434103	GCF_000969965.1	ASM96996v1	Methanosarcina sp. WWM596 (euryarchaeotes)	1434103	Methanosarcina sp. WWM596	GCA_000969965.1GCF_000969965.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina sp. WWM596
GCF_000970325.1	1434104	GCF_000970325.1	ASM97032v1	Methanococcoides methylutens MM1 (euryarchaeotes)	2226	Methanococcoides methylutens	GCA_000970325.1GCF_000970325.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens
GCF_000970065.1	1434106	GCF_000970065.1	ASM97006v1	Methanosarcina barkeri 227 (euryarchaeotes)	2208	Methanosarcina barkeri	GCA_000970065.1GCF_000970065.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri
GCF_000970305.1	1434107	GCF_000970305.1	ASM97030v1	Methanosarcina barkeri 3 (euryarchaeotes)	2208	Methanosarcina barkeri	GCA_000970305.1GCF_000970305.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri
GCF_000970025.1	1434108	GCF_000970025.1	ASM97002v1	Methanosarcina barkeri MS (euryarchaeotes)	2208	Methanosarcina barkeri	GCA_000970025.1GCF_000970025.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri
GCF_000969985.1	1434109	GCF_000969985.1	ASM96998v1	Methanosarcina barkeri str. Wiesmoor (euryarchaeotes)	2208	Methanosarcina barkeri	GCA_000969985.1GCF_000969985.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri
GCF_000970285.1	1434110	GCF_000970285.1	ASM97028v1	Methanosarcina horonobensis HB-1 = JCM 15518 (euryarchaeotes)	418008	Methanosarcina horonobensis	GCA_000970285.1GCF_000970285.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina horonobensis
GCF_000970265.1	1434111	GCF_000970265.1	ASM97026v1	Methanosarcina lacustris Z-7289 (euryarchaeotes)	170861	Methanosarcina lacustris	GCA_000970265.1GCF_000970265.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina lacustris
GCF_000970245.1	1434113	GCF_000970245.1	ASM97024v1	Methanosarcina mazei C16 (euryarchaeotes)	2209	Methanosarcina mazei	GCA_000970245.1GCF_000970245.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
GCF_000970225.1	1434114	GCF_000970225.1	ASM97022v1	Methanosarcina mazei LYC (euryarchaeotes)	2209	Methanosarcina mazei	GCA_000970225.1GCF_000970225.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
GCF_000970185.1	1434115	GCF_000970185.1	ASM97018v1	Methanosarcina mazei SarPi (euryarchaeotes)	2209	Methanosarcina mazei	GCA_000970185.1GCF_000970185.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
GCF_000970165.1	1434117	GCF_000970165.1	ASM97016v1	Methanosarcina mazei WWM610 (euryarchaeotes)	2209	Methanosarcina mazei	GCA_000970165.1GCF_000970165.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina mazei
GCF_000970145.1	1434118	GCF_000970145.1	ASM97014v1	Methanosarcina siciliae C2J (euryarchaeotes)	38027	Methanosarcina siciliae	GCA_000970145.1GCF_000970145.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae
GCF_000970085.1	1434120	GCF_000970085.1	ASM97008v1	Methanosarcina siciliae T4/M (euryarchaeotes)	38027	Methanosarcina siciliae	GCA_000970085.1GCF_000970085.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina siciliae
GCF_000969905.1	1434123	GCF_000969905.1	ASM96990v1	Methanosarcina vacuolata Z-761 (euryarchaeotes)	2215	Methanosarcina vacuolata	GCA_000969905.1GCF_000969905.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina vacuolata
GCF_900095815.1	145261	GCF_900095815.1	SIV6	Methanothermobacter wolfeii (euryarchaeotes)	145261	Methanothermobacter wolfeii	GCA_900095815.1GCF_900095815.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter wolfeii
GCF_004799665.1	1457250	GCF_004799665.1	ASM479966v1	Halapricum salinum (euryarchaeotes)	1457250	Halapricum salinum	GCA_004799665.1GCF_004799665.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Halapricum	Halapricum salinum
GCF_001560915.1	1495144	GCF_001560915.1	ASM156091v1	methanogenic archaeon ISO4-H5 (euryarchaeotes)	1495144	methanogenic archaeon ISO4-H5	GCA_001560915.1GCF_001560915.1identical	Archaea	Euryarchaeota	Thermoplasmata	NA	NA	NA	methanogenic archaeon ISO4-H5
GCF_000769655.1	1505907	GCF_000769655.1	ASM76965v1	Thermococcus eurythermalis (euryarchaeotes)	1505907	Thermococcus eurythermalis	GCA_000769655.1GCF_000769655.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus eurythermalis
GCF_003342675.1	1547898	GCF_003342675.1	ASM334267v1	Haloplanus sp. CBA1112 (euryarchaeotes)	1547898	Haloplanus sp. CBA1112	GCA_003342675.1GCF_003342675.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus sp. CBA1112
GCF_003342695.1	1547899	GCF_003342695.1	ASM334269v1	Haloplanus sp. CBA1113 (euryarchaeotes)	1547899	Haloplanus sp. CBA1113	GCA_003342695.1GCF_003342695.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Haloferacaceae	Haloplanus	Haloplanus sp. CBA1113
GCF_000993805.1	1550241	GCF_000993805.1	ASM99380v1	Thermofilum uzonense (crenarchaeotes)	1550241	Thermofilum uzonense	GCA_000993805.1GCF_000993805.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermofilaceae	Thermofilum	Thermofilum uzonense
GCF_003431325.1	1577685	GCF_003431325.1	ASM343132v1	Acidilobus sp. 7A (crenarchaeotes)	1577685	Acidilobus sp. 7A	GCA_003431325.1GCF_003431325.1identical	Archaea	Crenarchaeota	Thermoprotei	Acidilobales	Acidilobaceae	Acidilobus	Acidilobus sp. 7A
GCF_000800805.1	1577791	GCF_000800805.1	ASM80080v1	Candidatus Methanoplasma termitum (euryarchaeotes)	1577791	Candidatus Methanoplasma termitum	GCA_000800805.1GCF_000800805.1identical	Archaea	Euryarchaeota	Thermoplasmata	Methanomassiliicoccales	Methanomassiliicoccaceae	Candidatus Methanoplasma	Candidatus Methanoplasma termitum
GCF_000956175.1	1580092	GCF_000956175.1	ASM95617v1	Candidatus Nitrosopumilus adriaticus (archaea)	1580092	Candidatus Nitrosopumilus adriaticus	GCA_000956175.1GCF_000956175.1identical	Archaea	Thaumarchaeota	NA	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus	Candidatus Nitrosopumilus adriaticus
GCF_000827835.1	1592728	GCF_000827835.1	ASM82783v1	Haloarcula sp. CBA1115 (euryarchaeotes)	1592728	Haloarcula sp. CBA1115	GCA_000827835.1GCF_000827835.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula sp. CBA1115
GCF_000955905.1	1603555	GCF_000955905.1	ASM95590v3	Candidatus Nitrosotenuis cloacae (archaea)	1603555	Candidatus Nitrosotenuis cloacae	GCA_000955905.3GCF_000955905.1identical	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis cloacae
GCF_001305655.1	1604004	GCF_001305655.1	ASM130565v1	Halanaeroarchaeum sulfurireducens (euryarchaeotes)	1604004	Halanaeroarchaeum sulfurireducens	GCA_001305655.1GCF_001305655.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	Halanaeroarchaeum sulfurireducens
GCF_001011115.1	1604004	GCF_001011115.1	ASM101111v1	Halanaeroarchaeum sulfurireducens (euryarchaeotes)	1604004	Halanaeroarchaeum sulfurireducens	GCA_001011115.1GCF_001011115.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halanaeroarchaeum	Halanaeroarchaeum sulfurireducens
GCF_001577775.1	1609559	GCF_001577775.1	ASM157777v1	Pyrococcus kukulkanii (euryarchaeotes)	1609559	Pyrococcus kukulkanii	GCA_001577775.1GCF_001577775.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus kukulkanii
GCF_001548675.1	1609968	GCF_001548675.1	ASM154867v1	Methanobrevibacter sp. YE315 (euryarchaeotes)	1609968	Methanobrevibacter sp. YE315	GCA_001548675.1GCF_001548675.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter sp. YE315
GCF_000265525.1	163003	GCF_000265525.1	ASM26552v1	Thermococcus cleftensis (euryarchaeotes)	163003	Thermococcus cleftensis	GCA_000265525.1GCF_000265525.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus cleftensis
GCF_003967175.1	1670455	GCF_003967175.1	Sacidi_1.0	Sulfodiicoccus acidiphilus (crenarchaeotes)	1670455	Sulfodiicoccus acidiphilus	GCA_003967175.1GCF_003967175.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfodiicoccus	Sulfodiicoccus acidiphilus
GCF_900090055.1	1673428	GCF_900090055.1	C.divulgatum PM4	Cuniculiplasma divulgatum (euryarchaeotes)	1673428	Cuniculiplasma divulgatum	GCA_900090055.1GCF_900090055.1identical	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Cuniculiplasmataceae	Cuniculiplasma	Cuniculiplasma divulgatum
GCF_001484685.1	1674923	GCF_001484685.1	ASM148468v1	Thermococcus sp. 2319x1 (euryarchaeotes)	1674923	Thermococcus sp. 2319x1	GCA_001484685.1GCF_001484685.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sp. 2319x1
GCF_003058365.1	1679096	GCF_003058365.1	ASM305836v1	Haloarculaceae archaeon HArcel1 (euryarchaeotes)	1679096	Haloarculaceae archaeon HArcel1	GCA_003058365.1GCF_003058365.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	NA	Haloarculaceae archaeon HArcel1
GCF_001647085.1	1712654	GCF_001647085.1	ASM164708v1	Thermococcus piezophilus (euryarchaeotes)	1712654	Thermococcus piezophilus	GCA_001647085.1GCF_001647085.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus piezophilus
GCF_000007225.1	178306	GCF_000007225.1	ASM722v1	Pyrobaculum aerophilum str. IM2 (crenarchaeotes)	13773	Pyrobaculum aerophilum	GCA_000007225.1GCF_000007225.1identical	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum aerophilum
GCF_003268005.1	1789762	GCF_003268005.1	ASM326800v1	Methanosphaera sp. BMS (euryarchaeotes)	1789762	Methanosphaera sp. BMS	GCA_003268005.1GCF_003268005.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera sp. BMS
GCF_900696045.1	1798806	GCF_900696045.1	Nitrosocosmicus franklandus C13	Candidatus Nitrosocosmicus franklandus (archaea)	1798806	Candidatus Nitrosocosmicus franklandus	GCA_900696045.1GCF_900696045.1identical	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus Nitrosocosmicus	Candidatus Nitrosocosmicus franklandus
GCF_002787055.1	1846278	GCF_002787055.1	ASM278705v1	Candidatus Nitrosotenuis aquarius (archaea)	1846278	Candidatus Nitrosotenuis aquarius	GCA_002787055.1GCF_002787055.1identical	Archaea	Thaumarchaeota	NA	NA	NA	Candidatus Nitrosotenuis	Candidatus Nitrosotenuis aquarius
GCF_000007305.1	186497	GCF_000007305.1	ASM730v1	Pyrococcus furiosus DSM 3638 (euryarchaeotes)	2261	Pyrococcus furiosus	GCA_000007305.1GCF_000007305.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus furiosus
GCF_001767315.1	1873524	GCF_001767315.1	ASM176731v1	Halodesulfurarchaeum formicicum (euryarchaeotes)	1873524	Halodesulfurarchaeum formicicum	GCA_001767315.1GCF_001767315.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	Halodesulfurarchaeum formicicum
GCF_001886955.1	1873524	GCF_001886955.1	ASM188695v1	Halodesulfurarchaeum formicicum (euryarchaeotes)	1873524	Halodesulfurarchaeum formicicum	GCA_001886955.1GCF_001886955.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halodesulfurarchaeum	Halodesulfurarchaeum formicicum
GCF_000008645.1	187420	GCF_000008645.1	ASM864v1	Methanothermobacter thermautotrophicus str. Delta H (euryarchaeotes)	145262	Methanothermobacter thermautotrophicus	GCA_000008645.1GCF_000008645.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanothermobacter	Methanothermobacter thermautotrophicus
GCF_002214565.1	187880	GCF_002214565.1	ASM221456v1	Thermococcus radiotolerans (euryarchaeotes)	187880	Thermococcus radiotolerans	GCA_002214565.1GCF_002214565.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus radiotolerans
