AssemblyAccession	Taxid	LastMajorReleaseAccession	AssemblyName	Organism	SpeciesTaxid	SpeciesName	Synonym	superkingdom	phylum	class	order	family	genus	species
GCF_000022545.1	604354	GCF_000022545.1	ASM2254v1	Thermococcus sibiricus MM 739 (euryarchaeotes)	172049	Thermococcus sibiricus	GCA_000022545.1GCF_000022545.1identical	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus sibiricus
GCF_004799645.1	61858	GCF_004799645.1	ASM479964v1	Natronorubrum bangense (euryarchaeotes)	61858	Natronorubrum bangense	GCA_004799645.1GCF_004799645.1identical	Archaea	Euryarchaeota	Halobacteria	Natrialbales	Natrialbaceae	Natronorubrum	Natronorubrum bangense
GCF_003201765.1	619593	GCF_003201765.1	ASM320176v1	Acidianus sulfidivorans JP7 (crenarchaeotes)	312539	Acidianus sulfidivorans	GCA_003201765.1GCF_003201765.1identical	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus sulfidivorans
GCF_000092185.1	633148	GCF_000092185.1	ASM9218v1	Thermosphaera aggregans DSM 11486 (crenarchaeotes)	54254	Thermosphaera aggregans	GCA_000092185.1GCF_000092185.1identical	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	Thermosphaera aggregans
GCF_003990725.1	634157	GCF_003990725.1	ASM399072v1	Halorubrum sp. PV6 (euryarchaeotes)	634157	Halorubrum sp. PV6	GCA_003990725.1GCF_003990725.1identical	Archaea	Euryarchaeota	Halobacteria	Haloferacales	Halorubraceae	Halorubrum	Halorubrum sp. PV6
GCF_000223905.1	634497	GCF_000223905.1	ASM22390v1	Haloarcula hispanica ATCC 33960 (euryarchaeotes)	51589	Haloarcula hispanica	GCA_000223905.1GCF_000223905.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula hispanica
GCF_000024185.1	634498	GCF_000024185.1	ASM2418v1	Methanobrevibacter ruminantium M1 (euryarchaeotes)	83816	Methanobrevibacter ruminantium	GCA_000024185.1GCF_000024185.1identical	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter ruminantium
GCF_000828555.1	637915	GCF_000828555.1	ASM82855v1	Methanococcus maripaludis OS7 (euryarchaeotes)	39152	Methanococcus maripaludis	GCA_000828555.1GCF_000828555.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus maripaludis
GCF_000006805.1	64091	GCF_000006805.1	ASM680v1	Halobacterium salinarum NRC-1 (euryarchaeotes)	2242	Halobacterium salinarum	GCA_000006805.1GCF_000006805.1identical	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halobacterium	Halobacterium salinarum
GCF_000025525.1	644281	GCF_000025525.1	ASM2552v1	Methanocaldococcus sp. FS406-22 (euryarchaeotes)	644281	Methanocaldococcus sp. FS406-22	GCA_000025525.1GCF_000025525.1identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanocaldococcus	Methanocaldococcus sp. FS406-22
GCF_000196655.1	644295	GCF_000196655.1	ASM19665v1	Methanohalobium evestigatum Z-7303 (euryarchaeotes)	2322	Methanohalobium evestigatum	GCA_000196655.1GCF_000196655.1identical	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	Methanohalobium evestigatum
GCF_000179575.2	647113	GCF_000179575.2	ASM17957v2	Methanothermococcus okinawensis IH1 (euryarchaeotes)	155863	Methanothermococcus okinawensis	GCA_000179575.2GCF_000179575.2identical	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis
